"MARPP Regional Price Parities by MSA"
"RPPs: All items (Index)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"21300","Elmira, NY (Metropolitan Statistical Area)",94.9
"21340","El Paso, TX (Metropolitan Statistical Area)",87.7
"21420","Enid, OK (Metropolitan Statistical Area) 2/",88.3
"21500","Erie, PA (Metropolitan Statistical Area)",91.3
"21660","Eugene-Springfield, OR (Metropolitan Statistical Area)",99.4
"21780","Evansville, IN-KY (Metropolitan Statistical Area)",87.5
"21820","Fairbanks, AK (Metropolitan Statistical Area)",106.8
"22020","Fargo, ND-MN (Metropolitan Statistical Area)",90.6
"22140","Farmington, NM (Metropolitan Statistical Area)",90.3
"22180","Fayetteville, NC (Metropolitan Statistical Area)",89.0
"22220","Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",88.2
"22380","Flagstaff, AZ (Metropolitan Statistical Area)",99.3
"22420","Flint, MI (Metropolitan Statistical Area)",88.7
"22500","Florence, SC (Metropolitan Statistical Area)",87.5
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",80.7
"22540","Fond du Lac, WI (Metropolitan Statistical Area)",87.8
"22660","Fort Collins, CO (Metropolitan Statistical Area)",102.0
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)",82.9
"23060","Fort Wayne, IN (Metropolitan Statistical Area)",88.1
"23420","Fresno, CA (Metropolitan Statistical Area)",97.5
"23460","Gadsden, AL (Metropolitan Statistical Area)",82.2
"23540","Gainesville, FL (Metropolitan Statistical Area)",94.4
"23580","Gainesville, GA (Metropolitan Statistical Area)",91.2
"23900","Gettysburg, PA (Metropolitan Statistical Area)",95.6
"24020","Glens Falls, NY (Metropolitan Statistical Area)",96.5
"24140","Goldsboro, NC (Metropolitan Statistical Area)",87.1
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)",89.4
"24260","Grand Island, NE (Metropolitan Statistical Area)",85.5
"24300","Grand Junction, CO (Metropolitan Statistical Area)",93.7
"24340","Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",92.0
"24420","Grants Pass, OR (Metropolitan Statistical Area)",95.5
"24500","Great Falls, MT (Metropolitan Statistical Area)",91.9
"24540","Greeley, CO (Metropolitan Statistical Area)",98.0
"24580","Green Bay, WI (Metropolitan Statistical Area)",89.7
"24660","Greensboro-High Point, NC (Metropolitan Statistical Area)",90.0
"24780","Greenville, NC (Metropolitan Statistical Area)",87.4
"24860","Greenville-Anderson, SC (Metropolitan Statistical Area)",90.7
"25060","Gulfport-Biloxi, MS (Metropolitan Statistical Area)",87.2
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",96.2
"25220","Hammond, LA (Metropolitan Statistical Area)",86.3
"25260","Hanford-Corcoran, CA (Metropolitan Statistical Area)",95.2
"25420","Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",95.9
"25500","Harrisonburg, VA (Metropolitan Statistical Area)",91.9
"25540","Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",102.5
"25620","Hattiesburg, MS (Metropolitan Statistical Area)",84.7
"25860","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",87.4
"25940","Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",95.2
"25980","Hinesville, GA (Metropolitan Statistical Area)",91.6
"26140","Homosassa Springs, FL (Metropolitan Statistical Area)",89.1
"26300","Hot Springs, AR (Metropolitan Statistical Area)",85.0
"26380","Houma-Thibodaux, LA (Metropolitan Statistical Area)",88.1
"26420","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",101.7
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",85.6
"26620","Huntsville, AL (Metropolitan Statistical Area)",89.0
"26820","Idaho Falls, ID (Metropolitan Statistical Area)",91.0
"26900","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",91.1
"26980","Iowa City, IA (Metropolitan Statistical Area)",92.9
"27060","Ithaca, NY (Metropolitan Statistical Area)",105.3
"27100","Jackson, MI (Metropolitan Statistical Area)",87.6
"27140","Jackson, MS (Metropolitan Statistical Area)",87.7
"27180","Jackson, TN (Metropolitan Statistical Area)",80.7
"27260","Jacksonville, FL (Metropolitan Statistical Area)",95.4
"27340","Jacksonville, NC (Metropolitan Statistical Area)",91.6
"27500","Janesville-Beloit, WI (Metropolitan Statistical Area)",89.6
"27620","Jefferson City, MO (Metropolitan Statistical Area)",83.2
"27740","Johnson City, TN (Metropolitan Statistical Area)",85.3
"27780","Johnstown, PA (Metropolitan Statistical Area)",85.1
"27860","Jonesboro, AR (Metropolitan Statistical Area)",83.7
"27900","Joplin, MO (Metropolitan Statistical Area)",83.6
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",113.3
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)",89.8
"28100","Kankakee, IL (Metropolitan Statistical Area)",92.9
"28140","Kansas City, MO-KS (Metropolitan Statistical Area)",92.8
"28420","Kennewick-Richland, WA (Metropolitan Statistical Area)",98.6
